principal_diagnosis,percentage
Sickle cell anemia,31.9
Gangrene,31.6
Hepatitis,30.9
Disease of white blood cells,30.6
Chronic renal failure,27.4
Systemic lupus erythematosus and connective tissue disorders,27.2
Mycoses,27.0
HIV infection,26.4
Screening and history of mental health and substance abuse,26.0
Peritonitis and intestinal abscess,25.0
"Congestive heart failure, nonhypertensive",24.7
Personality disorders,24.2
Nutritional deficiencies,23.9
Coagulation and hemorrhagic disorders,23.7
"Respiratory failure, insufficiency, arrest (adult)",22.9
Nausea and vomiting,22.9
Schizophrenia and other psychotic disorders,22.3
Acute and unspecified renal failure,21.7
"Aspiration pneumonitis, food/vomitus",21.5
Hypertension with complications and secondary hypertension,21.4
Chronic ulcer of skin,21.3
"Pleurisy, pneumothorax, pulmonary collapse",21.2
Early or threatened labor,21.1
Septicemia,21.0
Anemia,20.9
Chronic obstructive pulmonary disease and bronchiectasis,20.9
Aortic and peripheral arterial embolism or thrombosis,20.6
Heart valve disorders,20.5
Diabetes mellitus with complications,20.3
"Complication of device, implant or graft",20.3
